address,price,beds,baths,sqft,lot_hoa_walk,agent,url
"Property at 555 W End Ave Unit The Solarium, New York City, NY 10024, 3 beds, 3.5 baths","$18,000,000",3 beds,3.5 baths,"3,420 sq ft","8,071 sq ft lot; $8,478 HOA; Walker's paradise",Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/555-W-End-Ave-10024/unit-The-Solarium/home/183800072
"Property at 555 W End Ave Unit The library, New York City, NY 10024, 5 beds, 5.5 baths","$9,900,000",5 beds,5.5 baths,"3,463 sq ft","8,071 sq ft lot; $6,868 HOA; Walker's paradise",Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/555-W-End-Ave-10024/unit-The-Library/home/167452795
"Property at 21-77 33rd St Unit 5-E, New York City, NY 11105, 2 beds, 1 bath","$345,000",2 beds,1 bath,— sq ft,"$1,040 HOA; Walker's paradise",Listing by Beekman Street Realty LLC • Provided by REBNY,https://www.redfin.com/NY/Astoria/2177-33rd-St-11105/unit-5E/home/39599550
"Property at 95-20 108th St, Richmond Hill, NY 11419, 4 beds, 3 baths","$878,000",4 beds,3 baths,"1,571 sq ft","3,028 sq ft lot; 2 garage spots; Very walkable",N/A,https://www.redfin.com/NY/South-Richmond-Hill/9520-108th-St-11419/home/20776053
"Property at 26 Terrace Cir Unit 9C, Great Neck, NY 11021, 2 beds, 1 bath","$550,000",2 beds,1 bath,750 sq ft,Community pool; Very walkable,N/A,https://www.redfin.com/NY/Great-Neck/26-Terrace-Cir-11021/unit-9C/home/58804725
"Property at 6535 108th St Unit B7, Forest Hills, NY 11375, 1 bed, 1 bath","$288,000",1 bed,1 bath,800 sq ft,Garage,N/A,https://www.redfin.com/NY/Flushing/65-35-108th-St-11375/unit-B7/home/196262208
"Property at 3021 Avenue Z Unit 2G, Brooklyn, NY 11229, 1 bed, 1 bath","$189,000",1 bed,1 bath,750 sq ft,Very walkable,Listing by Tracey Real Estate,https://www.redfin.com/NY/Brooklyn/3021-Avenue-Z-11235/unit-2G/home/196262161
"Property at 18409 140 Ave, Springfield Gardens, NY 11413, 5 beds, 2 baths","$950,000",5 beds,2 baths,— sq ft,Very walkable,Listing by Skylight Real Estate Consultan,https://www.redfin.com/NY/Springfield-Gardens/18409-140th-Ave-11413/home/20690533
"Property at 69-10 108th St Unit 1M, Forest Hills, NY 11375, 2 beds, 1 bath","$538,000",2 beds,1 bath,"1,011 sq ft",Garage; Walker's paradise,Listing by EXP Realty,https://www.redfin.com/NY/Forest-Hills/6910-108th-St-11375/unit-1M/home/20638998
"Property at 330 Taylor Ave, Bronx, NY 10473, 6 beds, 4 baths","$1,099,999",6 beds,4 baths,"2,050 sq ft","5,000 sq ft lot; Garage; Somewhat walkable",Listing by Empire Home Sales Inc,https://www.redfin.com/NY/Bronx/330-Taylor-Ave-10473/home/44765478
"Property at 30 Edgecombe Ave, New York (manhattan), NY 10030, 2 beds, 7 baths","$1,350,000",2 beds,7 baths,"3,850 sq ft","1,575 sq ft lot; Walker's paradise",Listing by Harlem Lofts Inc.,https://www.redfin.com/NY/New-York/30-Edgecombe-Ave-10030/home/45307395
"Property at 225 W 60th St Unit 17B, New York City, NY 10023, 2 beds, 2 baths","$1,885,000",2 beds,2 baths,"1,227 sq ft","0.29 acre lot; $1,892 HOA; Walker's paradise",Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/225-W-60th-St-10023/unit-17B/home/45191888
"Property at 90-13 Francis Lewis Blvd, Queens Village, NY 11428, 3 beds, 2.5 baths","$749,000",3 beds,2.5 baths,"1,504 sq ft","2,000 sq ft lot; Garage; Very walkable",Listing by HomeSmart Homes & Estates,https://www.redfin.com/NY/Queens-Village/9013-Francis-Lewis-Blvd-11428/home/20749766
"Property at 63 Brighton 2 Pl, Brooklyn, NY 11235, 1 bed, 0.5 baths","$498,000",1 bed,0.5 baths,834 sq ft,$458 HOA; Garage; Walker's paradise,"Listing by High Class Realty SB, LLC",https://www.redfin.com/NY/Brooklyn/63-Brighton-2nd-Pl-11235/home/52054063
"Property at 43-44 168 St, Flushing, NY 11358, 4 beds, 2 baths","$1,050,000",4 beds,2 baths,"1,650 sq ft",Garage; Very walkable,Listing by Maureen Folan R E Group LLC,https://www.redfin.com/NY/Flushing/4344-168th-St-11358/home/20848736
"Property at 87-10 149th Ave Unit 5D, Howard Beach, NY 11414, 2 beds, 2 baths","$450,000",2 beds,2 baths,— sq ft,"2.45 acre lot; $1,159 HOA; Garage",Listing by Century 21 Amiable Rlty Grp II,https://www.redfin.com/NY/Howard-Beach/8710-149th-Ave-11414/unit-5D/home/20729108
"Property at 106-20 70th Ave Unit 5C, New York City, NY 11375, 1 bed, 1 bath","$790,000",1 bed,1 bath,791 sq ft,$472 HOA; Garage; Walker's paradise,Listing by Industrie Residential • Provided by REBNY,https://www.redfin.com/NY/Forest-Hills/10620-70th-Ave-11375/unit-5C/home/109707354
"Property at 106-20 70th Ave Unit 5B, New York City, NY 11375, 1 bath","$525,000",0 beds,1 bath,498 sq ft,$314 HOA; Garage; Walker's paradise,Listing by Industrie Residential • Provided by REBNY,https://www.redfin.com/NY/Forest-Hills/10620-70th-Ave-11375/unit-5B/home/109706923
"Property at 480 Kent Ave Unit 16F, Brooklyn, NY 11249, 1 bed, 1 bath","$1,235,000",1 bed,1 bath,628 sq ft,"$1,144 HOA; Garage; Walker's paradise",Listing by Serhant • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/480-Kent-Ave-11249/unit-16F/home/196261834
"Property at 210 E 63rd St Unit 2B, New York City, NY 10065, 1 bath","$379,000",0 beds,1 bath,400 sq ft,$930 HOA; Walker's paradise,Listing by William Raveis New York City LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/210-E-63rd-St-10065/unit-2-B/home/177510284
"Property at 100 Vandam St Unit 20-A, New York City, NY 10013, 6 beds, 6.5 baths","$35,000,000",6 beds,6.5 baths,"6,569 sq ft",Garage; Walker's paradise,Listing by Nest Seekers LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/100-Vandam-St-10013/unit-20A/home/178763464
"Property at 3604 Willett Ave, Bronx, NY 10467, 7 beds, 3 baths","$1,199,000",7 beds,3 baths,"3,060 sq ft","1,895 sq ft lot; Very walkable",Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/3604-Willett-Ave-10467/home/44794917
"Property at 420 E 55th St Unit 3FG, New York City, NY 10022, 3 beds, 2.5 baths","$2,100,000",3 beds,2.5 baths,— sq ft,"$4,266 HOA; Garage; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/420-E-55th-St-10022/unit-3FG/home/196261763
Property at 3620 Paulding Ave, Bronx, NY 10469, 12 beds, 5 baths, Bronx, NY 10469, 12 beds, 5 baths, Bronx, NY 10469, 12 beds, 5 baths","$1,250,000",12 beds,5 baths,"3,049 sq ft","3,720 sq ft lot; Very walkable",Listing by WW Realty Group Inc,https://www.redfin.com/NY/Bronx/3620-Paulding-Ave-10469/home/44789222
"Property at 2154 Royce St, Brooklyn, NY 11234, 4 beds, 3 baths","$1,149,000",4 beds,3 baths,"2,200 sq ft","4,000 sq ft lot; Somewhat walkable",Listing by Bergen Basin Realty LLC,https://www.redfin.com/NY/Brooklyn/2154-Royce-St-11234/home/40899975
"Property at 212 E 47th St Unit 6G, New York City, NY 10017, 2 beds, 2 baths","$1,495,000",2 beds,2 baths,911 sq ft,"$1,091 HOA; Garage; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/212-E-47th-St-10017/unit-6G/home/196261725
"Property at 1728 Flatbush Ave, Brooklyn, NY 11210, 7 beds, 2 baths","$1,025,000",7 beds,2 baths,"3,360 sq ft","1,600 sq ft lot; Garage; Walker's paradise",Listing by RE/MAX Edge,https://www.redfin.com/NY/Brooklyn/1728-Flatbush-Ave-11210/home/196261636
"Property at 140 W 69th St Unit 91B, New York City, NY 10023, 1 bath","$299,000",0 beds,1 bath,250 sq ft,$988 HOA; Walker's paradise,Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/140-W-69th-St-10023/unit-91B/home/196261470
"Property at 16 Doe Pl, Staten Island, NY 10310, 5 beds, 3 baths","$549,000",5 beds,3 baths,"1,532 sq ft",Somewhat walkable,Listing by Howard Hanna Rand Realty,https://www.redfin.com/NY/Staten-Island/16-Doe-Pl-10310/home/56110620
"Property at 125 W 21st St Unit 4C, New York City, NY 10011, 1 bath","$975,000",0 beds,1 bath,605 sq ft,$840 HOA; Walker's paradise,Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/New-York/125-W-21st-St-10011/unit-4C/home/45205343
"Property at 610 Woodrow Rd, Staten Island, NY 10312, 4 beds, 2.5 baths","$1,080,000",4 beds,2.5 baths,"2,640 sq ft","9,894 sq ft lot; Garage; Somewhat walkable",Listing by R. Della Realty Corp.,https://www.redfin.com/NY/Staten-Island/610-Woodrow-Rd-10312/home/56036837
"Property at 129 W 70th St Unit GARDEN, New York City, NY 10023, 4 beds, 3 baths","$3,250,000",4 beds,3 baths,"2,926 sq ft","$3,386 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/129-W-70th-St-10023/home/45269192
"Property at 7-11 123, College Point, NY 11356, 3 beds, 3 baths","$1,098,000",3 beds,3 baths,"1,630 sq ft","4,500 sq ft lot; Very walkable",Listing by Royalux Realty LLC,https://www.redfin.com/NY/College-Point/711-123rd-St-11356/home/20876124
"Property at 170 W End Ave Unit 1P, New York City, NY 10023, 2 beds, 2 baths","$1,340,000",2 beds,2 baths,"1,256 sq ft","$2,461 HOA; Garage; Walker's paradise",Listing by The Agency Brokerage • Provided by REBNY,https://www.redfin.com/NY/New-York/170-W-End-Ave-10023/unit-1P/home/196261300
"Property at 4026 Wickham Ave, Bronx, NY 10466, 4 beds, 2 baths","$749,900",4 beds,2 baths,"1,920 sq ft","2,375 sq ft lot; Garage; Very walkable",Listing by YourHomeSold Guaranteed Realty,https://www.redfin.com/NY/Bronx/4026-Wickham-Ave-10466/home/44738314
"Property at 200-22 39th Ave, Bayside, NY 11361, 3 beds, 1.5 baths","$928,000",3 beds,1.5 baths,"1,196 sq ft","5,133 sq ft lot; Garage; Walker's paradise",Listing by Coldwell Banker American Homes,https://www.redfin.com/NY/Bayside/20022-39th-Ave-11361/home/20835698
