address,price,beds,baths,sqft,lot_hoa_walk,agent,url,image
"555 W End Ave Unit The Solarium, New York City, NY 10024, 3 beds, 3.5 baths","$18,000,000",3 beds,3.5 baths,"3,420 sq ft","8,071 sq ft lot; $8,478 HOA; Walker's paradise",Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/555-W-End-Ave-10024/unit-The-Solarium/home/183800072,https://ssl.cdn-redfin.com/photo/211/islphoto/186/genIslnoResize.RLS10975186_17.jpg
"555 W End Ave Unit The library, New York City, NY 10024, 5 beds, 5.5 baths","$9,900,000",5 beds,5.5 baths,"3,463 sq ft","8,071 sq ft lot; $6,868 HOA; Walker's paradise",Listing by Sothebys International Realty • Provided by REBNY,https://www.redfin.com/NY/New-York/555-W-End-Ave-10024/unit-The-Library/home/167452795,https://ssl.cdn-redfin.com/photo/211/islphoto/187/genIslnoResize.RLS10975187_15.jpg
"21-77 33rd St Unit 5-E, New York City, NY 11105, 2 beds, 1 bath","$345,000",2 beds,1 bath,— sq ft,"$1,040 HOA; Walker's paradise",Listing by Beekman Street Realty LLC • Provided by REBNY,https://www.redfin.com/NY/Astoria/2177-33rd-St-11105/unit-5E/home/39599550,https://ssl.cdn-redfin.com/photo/211/islphoto/926/genIslnoResize.RLS10986926_1A.jpg
"11018 Union Hall St, Jamaica, NY 11433, 3 beds, 1.5 baths","$629,900",3 beds,1.5 baths,"1,360 sq ft","3,060 sq ft lot; Very walkable",N/A,https://www.redfin.com/NY/Jamaica/11018-Union-Hall-St-11433/home/20709629,https://ssl.cdn-redfin.com/photo/269/islphoto/248/genIslnoResize.885248_0.jpg
"6736 Eliot Ave, Middle Village, NY 11379, 3 beds, 2.5 baths","$775,000",3 beds,2.5 baths,"1,665 sq ft","1,940 sq ft lot; Garage; Somewhat walkable",N/A,https://www.redfin.com/NY/Middle-Village/6736-Eliot-Ave-11379/home/20902702,https://ssl.cdn-redfin.com/photo/269/islphoto/541/genIslnoResize.884541_0.jpg
"1040 Neilson St Unit 2A, Far Rockaway, NY 11691, 1.5 baths","$110,000",0 beds,1.5 baths,450 sq ft,,Listing by ERA/Top Service Realty Inc,https://www.redfin.com/NY/Far-Rockaway/10-40-Neilson-St-11691/unit-2A/home/195231174,https://ssl.cdn-redfin.com/photo/269/islphoto/250/genIslnoResize.885250_0.jpg
"4343 Kissena Blvd #611, Flushing, NY 11355, 2 beds, 2.5 baths","$799,000",2 beds,2.5 baths,"1,150 sq ft",,Listing by Goldstone N Y Realty LLC,https://www.redfin.com/NY/Flushing/4343-Kissena-Blvd-11355/unit-611/home/20628966,https://ssl.cdn-redfin.com/photo/269/islphoto/240/genIslnoResize.885240_0.jpg
"1040 Neilson St Unit 1A, Far Rockaway, NY 11691, 1 bath","$110,000",0 beds,1 bath,450 sq ft,,Listing by ERA/Top Service Realty Inc,https://www.redfin.com/NY/Far-Rockaway/10-40-Neilson-St-11691/unit-1A/home/195230812,https://ssl.cdn-redfin.com/photo/269/islphoto/238/genIslnoResize.885238_0.jpg
"453 Hillman Ave, Staten Island, NY 10314, 3 beds, 1.5 baths","$748,000",3 beds,1.5 baths,"1,600 sq ft",,"Listing by Tom Crimmins Realty, Ltd.",https://www.redfin.com/NY/Staten-Island/453-Hillman-Ave-10314/home/56118051,https://ssl.cdn-redfin.com/photo/187/islphoto/879/genIslnoResize.2503879_2.jpg
"422 Preston Ave, Staten Island, NY 10312, 3 beds, 2.5 baths","$695,000",3 beds,2.5 baths,"1,152 sq ft",,Listing by Barracca Joanne,https://www.redfin.com/NY/Staten-Island/422-Preston-Ave-10312/home/56034201,https://ssl.cdn-redfin.com/photo/187/islphoto/878/genIslnoResize.2503878_3.jpg
